경도,국가,국명,분류체계,위도,지역,채집일,학명,해역
128.027054,대한민국,마디잘록이,Rhodymeniales > Lomentariaceae > Fushitsunagia > Fushitsunagia catenata,34.704613,대한민국 경상남도 남해군 미조면,2018-03-29,Fushitsunagia catenata,남해동부
126.911537,대한민국,떨기나무새붉은실,Rhodophyta > Florideophyceae > Ceramiales > Rhodomelaceae > Melanothamnus > Melanothamnus japonicus,33.491108,대한민국 제주특별자치도 제주시 구좌읍,2016-06-01,Melanothamnus japonicus,남해서부
125.917892,대한민국,,Sphingomonadales > Erythrobacteraceae > Qipengyuania > Qipengyuania flava,32.752979,대한민국 제주근해,2011-06-02,Qipengyuania flava,남해서부
125.414742,대한민국,,Pseudomonadota > Gammaproteobacteria > Oceanospirillales > Halomonadaceae > Halomonas > Halomonas zincidurans,32.246227,대한민국 제주근해,2011-06-02,Halomonas zincidurans,남해서부
126.438187,대한민국,,Winogradskyella sediminis,33.541252,대한민국 제주특별자치도,2011-06-03,Winogradskyella sediminis,남해서부
126.527000,대한민국,비단부채게,Sphaerozius nitidus,36.221111,대한민국 충청남도 보령시 웅천읍 독산해수욕장,2021-03-02,Sphaerozius nitidus,서해
126.527000,대한민국,비단부채게,Sphaerozius nitidus,36.221111,대한민국 충청남도 보령시 웅천읍 독산해수욕장,2021-03-02,Sphaerozius nitidus,서해
125.068008,대한민국,참복,Tetraodontiformes > Tetraodontidae > Takifugu > Takifugu chinensis,35.873272,대한민국 전라북도 군산시,2015-10-09,Takifugu chinensis,서해
126.339867,대한민국,,Exiguobacterium profundum,35.264629,대한민국 전라남도 영광군,2011-08-31,Exiguobacterium profundum,서해
126.339485,대한민국,,Vibrionales > Vibrionaceae > Salinivibrio > Salinivibrio costicola subsp. vallismortis,35.265373,대한민국 전라남도 영광군,2011-08-31,Salinivibrio costicola subsp. vallismortis,서해
129.384506,대한민국,염주말,Ulvophyceae > Cladophorales > Cladophoraceae > Chaetomorpha > Chaetomorpha moniligera,36.185226,대한민국 경상북도 포항시 북구 청하면,2015-03-28,Chaetomorpha moniligera,동해남부
126.940918,대한민국,갈색대마디말,Ulvophyceae > Cladophorales > Cladophoraceae > Cladophora > Cladophora wrightiana var. minor,33.505322,대한민국 제주특별자치도 제주시 우도면,2015-07-29,Cladophora wrightiana var. minor,남해서부
129.381134,대한민국,,Staphylococcus warneri,37.100739,대한민국 경상북도 울진군,2011-06-21,Staphylococcus warneri,동해중부
129.193710,대한민국,청각,Ulvophyceae > Bryopsidales > Codiaceae > Codium > Codium fragile,35.160782,대한민국 부산광역시 해운대구,2013-05-24,Codium fragile,동해남부
129.193710,대한민국,떡청각,Ulvophyceae > Bryopsidales > Codiaceae > Codium > Codium arabicum,35.160782,대한민국 부산광역시 해운대구,2013-03-27,Codium arabicum,동해남부
128.569672,대한민국,비틀이바늘고둥,Mollusca > Gastropoda > Littorinimorpha > Eulimidae > Amamibalcis > Amamibalcis flavipunctata,38.301220,대한민국 강원도 고성군 죽왕면 문암진리 문암항 금강산,2024-04-10,Amamibalcis flavipunctata,동해중부
126.072533,대한민국,얼룩통구멍,Uranoscopus japonicus,33.586716,대한민국 제주특별자치도 제주시,2015-03-23,Uranoscopus japonicus,남해서부
131.865097,대한민국,옥덩굴,Ulvophyceae > Bryopsidales > Caulerpaceae > Caulerpa > Caulerpa okamurae,37.239933,대한민국 경상북도 울릉군 울릉읍,2015-10-13,Caulerpa okamurae,동해중부
126.115044,대한민국,짱뚱어,Teleostei > Perciformes > Gobiidae > Boleophthalmus > Boleophthalmus pectinirostris,35.115391,대한민국 전라남도 신안군,2015-10-19,Boleophthalmus pectinirostris,서해
129.381134,대한민국,,Shewanellaceae > Shewanella > Shewanella algae,37.100739,대한민국 경상북도 울진군,2011-06-21,Shewanella algae,동해중부
126.341934,대한민국,,Sphingomonadales > Erythrobacteraceae > Porphyrobacter > Porphyrobacter tepidarius,35.261219,대한민국 전라남도 영광군 백수읍 백암리,2011-08-31,Porphyrobacter tepidarius,서해
126.376389,대한민국,큰비늘숭어,Teleostei > Mugiliformes > Mugilidae > Planiliza > Planiliza macrolepis,33.233166,대한민국 제주특별자치도 서귀포시,2015-10-07,Planiliza macrolepis,남해서부
127.392639,대한민국,전기가오리,Torpediniformes > Narkidae > Narke > Narke japonica,33.643475,대한민국 제주특별자치도 서귀포시,2015-12-23,Narke japonica,남해서부
126.375099,대한민국,,Vibrionales > Vibrionaceae > Vibrio > Vibrio sinaloensis,35.310436,대한민국 전라남도 영광군 백수읍 백암리,2011-08-31,Vibrio sinaloensis,서해
129.486557,대한민국,검은새다래,Teleostei > Perciformes > Bramidae > Taractes > Taractes rubescens,36.094219,대한민국 경상북도 포항시,2016-08-16,Taractes rubescens,동해남부
127.733376,대한민국,,Sididae > Penilia > Penilia avirostris,34.902287,대한민국 전라남도 광양시,2011-09-09,Penilia avirostris,남해서부
127.148613,대한민국,황돔,Teleostei > Perciformes > Sparidae > Dentex > Dentex hypselosomus,33.103218,대한민국 제주특별자치도 서귀포시,2016-01-07,Dentex hypselosomus,남해서부
127.846413,대한민국,고등어,Teleostei > Perciformes > Scombridae > Scomber > Scomber japonicus,34.206280,대한민국 전라남도 여수시,2016-01-13,Scomber japonicus,남해동부
127.619453,대한민국,,Sididae > Penilia > Penilia avirostris,34.884762,대한민국 전라남도 광양시,2011-09-09,Penilia avirostris,남해서부
125.688057,대한민국,가는낫노벌레,Copepoda > Calanoida > Centropagidae > Centropages > Centropages tenuiremis,35.956711,대한민국 전라북도 군산시,2011-08-13,Centropages tenuiremis,서해
125.639061,대한민국,가는낫노벌레,Copepoda > Calanoida > Centropagidae > Centropages > Centropages tenuiremis,36.005562,대한민국 전라북도 군산시,2011-08-13,Centropages tenuiremis,서해
126.160034,대한민국,,Vibrionales > Vibrionaceae > Vibrio > Vibrio campbellii,36.844147,대한민국 충청남도 태안군 소원면 의항리,2011-08-31,Vibrio campbellii,서해
128.559052,대한민국,,Leeuwenhoekiella marinoflava,38.337650,대한민국 강원도 고성군,2005-06-29,Leeuwenhoekiella marinoflava,동해중부
126.153854,대한민국,용치놀래기,Teleostei > Perciformes > Labridae > Parajulis > Parajulis poecilepterus,33.306789,대한민국 제주특별자치도 제주시,2014-08-28,Parajulis poecilepterus,남해서부
126.511826,대한민국,중국노벌레,Copepoda > Calanoida > Calanidae > Calanus > Calanus sinicus,33.199329,대한민국 제주특별자치도 서귀포시,2011-08-27,Calanus sinicus,남해서부
126.176643,대한민국,중국노벌레,Copepoda > Calanoida > Calanidae > Calanus > Calanus sinicus,34.330208,대한민국 전라남도 진도군,2011-05-15,Calanus sinicus,남해서부
129.497101,대한민국,잔가시뿔고둥,Neogastropoda > Muricidae > Lataxiena > Lataxiena fimbriata,35.791115,대한민국 경상북도 경주시 감포읍 전촌리 전촌항 왼쪽 조간대,2018-02-08,Lataxiena fimbriata,동해남부
126.157501,대한민국,,Vibrionales > Vibrionaceae > Vibrio > Vibrio variabilis,37.175667,대한민국 인천광역시,2005-09-09,Vibrio variabilis,서해
126.499718,대한민국,,Cytophagia > Cytophagales > Cyclobacteriaceae > Algoriphagus > Algoriphagus formosus,37.462223,대한민국 인천광역시 중구,2006-09-07,Algoriphagus formosus,서해
127.492165,대한민국,,Fungi > Ascomycota > Eurotiomycetes > Eurotiales > Aspergillaceae > Aspergillus > Aspergillus unguis,34.847721,대한민국 남해,2021-01-12,Aspergillus unguis,남해서부
131.867783,대한민국,,Oncholaimus tripapillatus,37.239166,대한민국 경상북도 울릉군 울릉읍 조하대,2015-09-22,Oncholaimus tripapillatus,동해중부
131.867783,대한민국,,Oncholaimus tripapillatus,37.239166,대한민국 경상북도 울릉군 울릉읍 조하대,2015-09-22,Oncholaimus tripapillatus,동해중부
129.589188,대한민국,산뜻참센털노벌레,Euchaetidae > Euchaeta > Euchaeta concinna,36.465519,대한민국 경상북도 영덕군,2011-05-20,Euchaeta concinna,동해남부
126.275284,대한민국,,Nematoda > Chromadorea > Chromadorida > Chromadoridae > Chromadorita > Chromadorita abnormis,34.395836,대한민국 전라남도 진도군 의신면 조간대,2016-02-18,Chromadorita abnormis,남해서부
126.898994,대한민국,,Penicillium kongii,33.512638,대한민국 제주특별자치도 제주시 구좌읍,2015-07-03,Penicillium kongii,남해서부
126.303612,대한민국,,Pseudomonadota > Gammaproteobacteria > Alteromonadales > Alteromonadaceae > Marinobacter > Marinobacter adhaerens,36.946388,대한민국 충청남도 태안군 이원면 원이로,2012-05-25,Marinobacter adhaerens,서해
126.369797,대한민국,열한가시밤게,Pleocyemata > Brachyura > Leucosioidea > Leucosiidae > Ebaliinae > Arcania > Arcania undecimspinosa,36.265800,대한민국 충청남도 보령시 웅천읍 용섬,2021-05-12,Arcania undecimspinosa,서해
126.303612,대한민국,,Pseudomonadota > Gammaproteobacteria > Oceanospirillales > Halomonadaceae > Halomonas > Halomonas salicampi,36.946388,대한민국 충청남도 태안군 이원면 원이로,2012-05-25,Halomonas salicampi,서해
126.303612,대한민국,,Pseudomonadota > Gammaproteobacteria > Oceanospirillales > Halomonadaceae > Halomonas > Halomonas gomseomensis,36.946388,대한민국 충청남도 태안군 이원면 원이로,2012-05-25,Halomonas gomseomensis,서해
128.811462,대한민국,각시노벌레,Sinocalanus tenellus,37.911640,대한민국 강원도 강릉시,2011-10-14,Sinocalanus tenellus,동해중부
129.377335,대한민국,,Nematoda > Enoplea > Enoplida > Enchelidiidae > Eurystomina > Eurystomina ophthalmophora,37.105988,대한민국 경상북도 울진군 북면 조간대,2016-01-28,Eurystomina ophthalmophora,동해중부
129.231339,대한민국,작은구슬산호말,Rhodophyta > Florideophyceae > Corallinales > Corallinaceae > Corallina > Corallina pilulifera,35.221058,대한민국 부산광역시 기장군 기장읍,2013-11-06,Corallina pilulifera,동해남부
128.559052,대한민국,,Rhodobacterales > Paracoccaceae > Nereida > Nereida ignava,38.337650,대한민국 강원도 고성군,2005-06-29,Nereida ignava,동해중부
126.499718,대한민국,,Pseudomonadota > Gammaproteobacteria > Alteromonadales > Alteromonadaceae > Marinobacter > Marinobacter algicola,37.462223,대한민국 인천광역시 중구,2006-09-07,Marinobacter algicola,서해
126.515831,대한민국,,Roseovarius litorisediminis,37.579830,대한민국 인천광역시 강화군 동검도,2005-07-26,Roseovarius litorisediminis,서해
129.620926,대한민국,,Zhongshania borealis,35.330276,대한민국 남해,2011-07-26,Zhongshania borealis,동해남부
129.189911,대한민국,큰갈파래,Ulvophyceae > Ulvales > Ulvaceae > Ulva > Ulva ohnoi,35.161057,대한민국 부산광역시 해운대구,2015-05-05,Ulva ohnoi,동해남부
129.318008,대한민국,누은분홍잎,Rhodophyta > Florideophyceae > Ceramiales > Delesseriaceae > Acrosorium > Acrosorium yendoi,37.289211,대한민국 강원도 삼척시 근덕면,2017-10-18,Acrosorium yendoi,동해중부
126.584114,대한민국,납작파래,Ulvophyceae > Ulvales > Ulvaceae > Ulva > Ulva compressa,33.526775,대한민국 제주특별자치도 제주시,2015-03-04,Ulva compressa,남해서부
129.189667,대한민국,아라사키갈파래,Ulvophyceae > Ulvales > Ulvaceae > Ulva > Ulva arasakii,37.445980,대한민국 강원도 삼척시,2015-03-30,Ulva arasakii,동해중부
129.483810,대한민국,,Rhodobacterales > Paracoccaceae > Ponticoccus > Ponticoccus litoralis,37.250458,대한민국 강원도 삼척시,2013-09-11,Ponticoccus litoralis,동해중부
128.910614,대한민국,마른나무,Tichocarpus crinitus,37.810978,대한민국 강원도 강릉시,2017-09-20,Tichocarpus crinitus,동해중부
126.911537,대한민국,떨기나무새붉은실,Rhodophyta > Florideophyceae > Ceramiales > Rhodomelaceae > Melanothamnus > Melanothamnus japonicus,33.491108,대한민국 제주특별자치도 제주시 구좌읍,2016-06-01,Melanothamnus japonicus,남해서부
129.384750,대한민국,창자파래,Ulvophyceae > Ulvales > Ulvaceae > Ulva > Ulva intestinalis,36.237473,대한민국 경상북도 포항시 북구 송라면,2014-07-04,Ulva intestinalis,동해남부
128.898819,대한민국,참보라색우무,Symphyocladia latiuscula,37.813122,대한민국 강원도 강릉시,2013-07-02,Symphyocladia latiuscula,동해중부
129.483810,대한민국,,Pseudomonadota > Gammaproteobacteria > Alteromonadales > Pseudoalteromonadaceae > Pseudoalteromonas > Pseudoalteromonas piscicida,37.250458,대한민국 강원도 삼척시,2013-09-11,Pseudoalteromonas piscicida,동해중부
129.483810,대한민국,,Pseudomonadota > Gammaproteobacteria > Alteromonadales > Alteromonadaceae > Alteromonas > Alteromonas fortis,37.250458,대한민국 강원도 삼척시,2013-09-11,Alteromonas fortis,동해중부
129.483810,대한민국,,Shewanellaceae > Shewanella > Shewanella waksmanii,37.250458,대한민국 강원도 삼척시,2013-09-11,Shewanella waksmanii,동해중부
