source_name,source_url,reference_date,item_type,name_ko,category,region,address,latitude,longitude,summary,story_use,mission_use,age_tags,keywords,경도,국가,국명,분류체계,위도,지역,채집일,학명,해역
국립해양생물자원관_해양생물 채집 공간정보,https://www.data.go.kr/data/15151832/openapi.do,2016-02-17,marine_life,Axonolaimus helgolandicus,Nematoda > Chromadorea > Araeolaimida > Axonolaimidae > Axonolaimus > Axonolaimus helgolandicus,대한민국 경상남도 남해군 남면 조간대,대한민국; 남해동부; 대한민국 경상남도 남해군 남면 조간대,34.749168,127.910278,Axonolaimus helgolandicus은(는) 남해동부에서 관찰·채집된 해양생물 소재로 사용할 수 있다.,해양생물 캐릭터와 바다 탐험 동화 소재,"생물의 이름, 서식 해역, 분류를 활용한 관찰 질문과 퀴즈",5-7;8-10,해양생물;Axonolaimus;helgolandicus;Nematoda;>;Chromadorea;Araeolaimida;Axonolaimidae;남해동부;대한민국;경상남도;남해군,127.910278,대한민국,,Nematoda > Chromadorea > Araeolaimida > Axonolaimidae > Axonolaimus > Axonolaimus helgolandicus,34.749168,대한민국 경상남도 남해군 남면 조간대,2016-02-17,Axonolaimus helgolandicus,남해동부
국립해양생물자원관_해양생물 채집 공간정보,https://www.data.go.kr/data/15151832/openapi.do,2014-07-12,marine_life,민가지말,Phaeophyceae > Ectocarpales > Chordariaceae > Chordaria > Chordaria flagelliformis,대한민국 경상남도 거제시 남부면 명사해수욕장,대한민국; 남해동부; 대한민국 경상남도 거제시 남부면 명사해수욕장,34.726791,128.603500,민가지말은(는) 남해동부에서 관찰·채집된 해양생물 소재로 사용할 수 있다.,해양생물 캐릭터와 바다 탐험 동화 소재,"생물의 이름, 서식 해역, 분류를 활용한 관찰 질문과 퀴즈",5-7;8-10,해양생물;민가지말;Chordaria;flagelliformis;Phaeophyceae;>;Ectocarpales;Chordariaceae;남해동부;대한민국;경상남도;거제시,128.603500,대한민국,민가지말,Phaeophyceae > Ectocarpales > Chordariaceae > Chordaria > Chordaria flagelliformis,34.726791,대한민국 경상남도 거제시 남부면 명사해수욕장,2014-07-12,Chordaria flagelliformis,남해동부
국립해양생물자원관_해양생물 채집 공간정보,https://www.data.go.kr/data/15151832/openapi.do,2013-03-27,marine_life,반지털,Phaeophyceae > Ectocarpales > Chordariaceae > Halothrix > Halothrix lumbricalis,대한민국 전라남도 진도군 진도읍 진도,대한민국; 남해서부; 대한민국 전라남도 진도군 진도읍 진도,34.395443,126.276978,반지털은(는) 남해서부에서 관찰·채집된 해양생물 소재로 사용할 수 있다.,해양생물 캐릭터와 바다 탐험 동화 소재,"생물의 이름, 서식 해역, 분류를 활용한 관찰 질문과 퀴즈",5-7;8-10,해양생물;반지털;Halothrix;lumbricalis;Phaeophyceae;>;Ectocarpales;Chordariaceae;남해서부;대한민국;전라남도;진도군,126.276978,대한민국,반지털,Phaeophyceae > Ectocarpales > Chordariaceae > Halothrix > Halothrix lumbricalis,34.395443,대한민국 전라남도 진도군 진도읍 진도,2013-03-27,Halothrix lumbricalis,남해서부
국립해양생물자원관_해양생물 채집 공간정보,https://www.data.go.kr/data/15151832/openapi.do,2020-08-20,marine_life,작은배젖꼭지노벌레,Pleuromamma indica,대한민국 남해,대한민국; 남해동부; 대한민국 남해,34.225002,128.399994,작은배젖꼭지노벌레은(는) 남해동부에서 관찰·채집된 해양생물 소재로 사용할 수 있다.,해양생물 캐릭터와 바다 탐험 동화 소재,"생물의 이름, 서식 해역, 분류를 활용한 관찰 질문과 퀴즈",5-7;8-10,해양생물;작은배젖꼭지노벌레;Pleuromamma;indica;남해동부;대한민국;남해,128.399994,대한민국,작은배젖꼭지노벌레,Pleuromamma indica,34.225002,대한민국 남해,2020-08-20,Pleuromamma indica,남해동부
국립해양생물자원관_해양생물 채집 공간정보,https://www.data.go.kr/data/15151832/openapi.do,2004-10-04,marine_life,Tsukamurella pulmonis,Tsukamurellaceae > Tsukamurella > Tsukamurella pulmonis,대한민국 부산광역시,대한민국; 남해동부; 대한민국 부산광역시,34.886112,128.952225,Tsukamurella pulmonis은(는) 남해동부에서 관찰·채집된 해양생물 소재로 사용할 수 있다.,해양생물 캐릭터와 바다 탐험 동화 소재,"생물의 이름, 서식 해역, 분류를 활용한 관찰 질문과 퀴즈",5-7;8-10,해양생물;Tsukamurella;pulmonis;Tsukamurellaceae;>;남해동부;대한민국;부산광역시,128.952225,대한민국,,Tsukamurellaceae > Tsukamurella > Tsukamurella pulmonis,34.886112,대한민국 부산광역시,2004-10-04,Tsukamurella pulmonis,남해동부
국립해양생물자원관_해양생물 채집 공간정보,https://www.data.go.kr/data/15151832/openapi.do,2021-04-16,marine_life,농게,Tubuca arcuata,대한민국 인천광역시 강화군 내가면 강화도,대한민국; 서해; 대한민국 인천광역시 강화군 내가면 강화도,37.741325,126.360123,농게은(는) 서해에서 관찰·채집된 해양생물 소재로 사용할 수 있다.,해양생물 캐릭터와 바다 탐험 동화 소재,"생물의 이름, 서식 해역, 분류를 활용한 관찰 질문과 퀴즈",5-7;8-10,해양생물;농게;Tubuca;arcuata;서해;대한민국;인천광역시;강화군;내가면;강화도,126.360123,대한민국,농게,Tubuca arcuata,37.741325,대한민국 인천광역시 강화군 내가면 강화도,2021-04-16,Tubuca arcuata,서해
국립해양생물자원관_해양생물 채집 공간정보,https://www.data.go.kr/data/15151832/openapi.do,2021-04-16,marine_life,칠게,Pleocyemata > Brachyura > Ocypodoidea > Macrophthalmidae > Macrophthalminae > Macrophthalmus > Mareotis > Macrophthalmus (Mareotis) japonicus,대한민국 인천광역시 강화군 내가면 강화도,대한민국; 서해; 대한민국 인천광역시 강화군 내가면 강화도,37.741325,126.360123,칠게은(는) 서해에서 관찰·채집된 해양생물 소재로 사용할 수 있다.,해양생물 캐릭터와 바다 탐험 동화 소재,"생물의 이름, 서식 해역, 분류를 활용한 관찰 질문과 퀴즈",5-7;8-10,해양생물;칠게;Macrophthalmus;(Mareotis);japonicus;Pleocyemata;>;Brachyura;Ocypodoidea;Macrophthalmidae;Macrophthalminae;Mareotis,126.360123,대한민국,칠게,Pleocyemata > Brachyura > Ocypodoidea > Macrophthalmidae > Macrophthalminae > Macrophthalmus > Mareotis > Macrophthalmus (Mareotis) japonicus,37.741325,대한민국 인천광역시 강화군 내가면 강화도,2021-04-16,Macrophthalmus (Mareotis) japonicus,서해
국립해양생물자원관_해양생물 채집 공간정보,https://www.data.go.kr/data/15151832/openapi.do,2021-06-29,marine_life,가는엉킨실,Ulvophyceae > Bryopsidales > Derbesiaceae > Derbesia > Derbesia tenuissima,대한민국 전라남도 신안군 흑산면 가거도,대한민국; 서해; 대한민국 전라남도 신안군 흑산면 가거도,34.050915,125.124474,가는엉킨실은(는) 서해에서 관찰·채집된 해양생물 소재로 사용할 수 있다.,해양생물 캐릭터와 바다 탐험 동화 소재,"생물의 이름, 서식 해역, 분류를 활용한 관찰 질문과 퀴즈",5-7;8-10,해양생물;가는엉킨실;Derbesia;tenuissima;Ulvophyceae;>;Bryopsidales;Derbesiaceae;서해;대한민국;전라남도;신안군,125.124474,대한민국,가는엉킨실,Ulvophyceae > Bryopsidales > Derbesiaceae > Derbesia > Derbesia tenuissima,34.050915,대한민국 전라남도 신안군 흑산면 가거도,2021-06-29,Derbesia tenuissima,서해
국립해양생물자원관_해양생물 채집 공간정보,https://www.data.go.kr/data/15151832/openapi.do,2021-09-10,marine_life,참깃털말,Ulvophyceae > Bryopsidales > Bryopsidaceae > Bryopsis > Bryopsis plumosa,대한민국 제주특별자치도 제주시 추자면 추자도,대한민국; 남해서부; 대한민국 제주특별자치도 제주시 추자면 추자도,33.984028,126.349617,참깃털말은(는) 남해서부에서 관찰·채집된 해양생물 소재로 사용할 수 있다.,해양생물 캐릭터와 바다 탐험 동화 소재,"생물의 이름, 서식 해역, 분류를 활용한 관찰 질문과 퀴즈",5-7;8-10,해양생물;참깃털말;Bryopsis;plumosa;Ulvophyceae;>;Bryopsidales;Bryopsidaceae;남해서부;대한민국;제주특별자치도;제주시,126.349617,대한민국,참깃털말,Ulvophyceae > Bryopsidales > Bryopsidaceae > Bryopsis > Bryopsis plumosa,33.984028,대한민국 제주특별자치도 제주시 추자면 추자도,2021-09-10,Bryopsis plumosa,남해서부
국립해양생물자원관_해양생물 채집 공간정보,https://www.data.go.kr/data/15151832/openapi.do,2004-10-04,marine_life,Paracoccus rhizosphaerae,Rhodobacterales > Paracoccaceae > Paracoccus > Paracoccus rhizosphaerae,대한민국 부산광역시,대한민국; 남해동부; 대한민국 부산광역시,34.886112,128.952225,Paracoccus rhizosphaerae은(는) 남해동부에서 관찰·채집된 해양생물 소재로 사용할 수 있다.,해양생물 캐릭터와 바다 탐험 동화 소재,"생물의 이름, 서식 해역, 분류를 활용한 관찰 질문과 퀴즈",5-7;8-10,해양생물;Paracoccus;rhizosphaerae;Rhodobacterales;>;Paracoccaceae;남해동부;대한민국;부산광역시,128.952225,대한민국,,Rhodobacterales > Paracoccaceae > Paracoccus > Paracoccus rhizosphaerae,34.886112,대한민국 부산광역시,2004-10-04,Paracoccus rhizosphaerae,남해동부
